,From(Powiat),To(Powiat),# of people,Inhabitants(From),Inhabitants(To)
0,0201,0209,62,90528,54744
1,0201,0210,113,90528,56732
2,0201,0211,95,90528,106966
3,0201,0212,123,90528,47877
4,0201,0216,256,90528,63121
5,0201,0223,20,90528,121651
6,0201,0225,138,90528,94205
7,0201,0226,12,90528,45613
8,0201,0261011,39,90528,83463
9,0201,0262011,155,90528,102979
10,0201,0264011,739,90528,631235
11,0201,0265011,20,90528,119955
12,0201,0804,17,90528,88062
13,0201,0811,10,90528,99762
14,0201,1061011,52,90528,725055
15,0201,1465011,275,90528,1708491
16,0201,2477011,12,90528,129322
17,0201,3022,12,90528,60448
18,0201,3064011,13,90528,553564
19,0202,0217,16,105762,44652
20,0202,0219,716,105762,162145
21,0202,0221,22,105762,58821
22,0202,0223,1886,105762,121651
23,0202,0224,77,105762,68807
24,0202,0226,13,105762,45613
25,0202,0261011,10,105762,83463
26,0202,0262011,27,105762,102979
27,0202,0264011,2068,105762,631235
28,0202,0265011,215,105762,119955
29,0202,1261011,24,105762,759137
30,0202,1438,17,105762,76590
31,0202,1465011,176,105762,1708491
32,0202,1661011,14,105762,122439
33,0203,0209,25,90249,54744
34,0203,0211,1118,90249,106966
35,0203,0216,5110,90249,63121
36,0203,0223,23,90249,121651
37,0203,0226,20,90249,45613
38,0203,0262011,180,90249,102979
39,0203,0264011,691,90249,631235
40,0203,0265011,22,90249,119955
41,0203,0804,55,90249,88062
42,0203,0812,178,90249,39349
43,0203,0862011,35,90249,119197
44,0203,1261011,16,90249,759137
45,0203,1465011,69,90249,1708491
46,0203,2462011,66,90249,176106
47,0203,2469011,23,90249,309304
48,0203,3021,10,90249,337883
49,0203,3031,10,90249,70292
50,0203,3063011,46,90249,64713
51,0203,3064011,25,90249,553564
52,0204,0203,153,36730,90249
53,0204,0211,147,36730,106966
54,0204,0216,83,36730,63121
55,0204,0220,11,36730,82015
56,0204,0222,22,36730,47799
57,0204,0223,22,36730,121651
58,0204,0264011,322,36730,631235
59,0204,0812,56,36730,39349
60,0204,0862011,78,36730,119197
61,0204,1465011,76,36730,1708491
62,0204,2461011,11,36730,174503
63,0204,3013,190,36730,53013
64,0204,3021,10,36730,337883
65,0204,3022,220,36730,60448
66,0204,3063011,673,36730,64713
67,0204,3064011,72,36730,553564
68,0205,0206,211,52603,65137
69,0205,0207,36,52603,45835
70,0205,0209,293,52603,54744
71,0205,0211,57,52603,106966
72,0205,0216,36,52603,63121
73,0205,0218,66,52603,51782
74,0205,0219,558,52603,162145
75,0205,0223,275,52603,121651
76,0205,0226,39,52603,45613
77,0205,0261011,131,52603,83463
78,0205,0262011,999,52603,102979
79,0205,0264011,633,52603,631235
80,0205,0265011,163,52603,119955
81,0205,1465011,92,52603,1708491
82,0205,2469011,11,52603,309304
83,0205,3021,32,52603,337883
84,0205,3022,28,52603,60448
85,0206,0207,13,65137,45835
86,0206,0208,12,65137,166843
87,0206,0261011,2901,65137,83463
88,0206,0262011,48,65137,102979
89,0206,0264011,649,65137,631235
90,0206,0265011,48,65137,119955
91,0206,1434,91,65137,222492
92,0206,1465011,84,65137,1708491
93,0206,2469011,10,65137,309304
94,0206,3205,48,65137,61837
95,0207,0205,12,45835,52603
96,0207,0206,307,45835,65137
97,0207,0212,10,45835,47877
98,0207,0216,23,45835,63121
99,0207,0221,92,45835,58821
100,0207,0261011,279,45835,83463
101,0207,0262011,23,45835,102979
102,0207,0264011,394,45835,631235
103,0207,0265011,496,45835,119955
104,0207,1434,10,45835,222492
105,0207,1465011,20,45835,1708491
106,0208,0202,106,166843,105762
107,0208,0211,10,166843,106966
108,0208,0216,39,166843,63121
109,0208,0219,12,166843,162145
110,0208,0223,308,166843,121651
111,0208,0224,48,166843,68807
112,0208,0225,10,166843,94205
113,0208,0226,12,166843,45613
114,0208,0262011,12,166843,102979
115,0208,0264011,1465,166843,631235
116,0208,0265011,471,166843,119955
117,0208,1216,40,166843,198276
118,0208,1465011,311,166843,1708491
119,0208,1661011,17,166843,122439
120,0208,2413,11,166843,138400
121,0208,3064011,10,166843,553564
122,0209,0201,202,54744,90528
123,0209,0205,11,54744,52603
124,0209,0211,402,54744,106966
125,0209,0216,352,54744,63121
126,0209,0218,299,54744,51782
127,0209,0223,90,54744,121651
128,0209,0225,42,54744,94205
129,0209,0226,95,54744,45613
130,0209,0262011,3005,54744,102979
131,0209,0264011,1115,54744,631235
132,0209,0265011,45,54744,119955
133,0209,0418,22,54744,87345
134,0209,1203,19,54744,127848
135,0209,1261011,10,54744,759137
136,0209,1465011,114,54744,1708491
137,0209,2477011,16,54744,129322
138,0210,0201,525,56732,90528
139,0210,0212,240,56732,47877
140,0210,0223,13,56732,121651
141,0210,0225,546,56732,94205
142,0210,0261011,116,56732,83463
143,0210,0262011,16,56732,102979
144,0210,0264011,408,56732,631235
145,0210,0265011,32,56732,119955
146,0210,1001,16,56732,113005
147,0210,1261011,23,56732,759137
148,0210,1465011,63,56732,1708491
149,0210,2469011,14,56732,309304
150,0210,2601,16,56732,74289
151,0210,3064011,11,56732,553564
152,0211,0203,124,106966,90249
153,0211,0206,10,106966,65137
154,0211,0209,184,106966,54744
155,0211,0216,5503,106966,63121
156,0211,0218,26,106966,51782
157,0211,0222,36,106966,47799
158,0211,0223,39,106966,121651
159,0211,0226,14,106966,45613
160,0211,0261011,15,106966,83463
