,Outgoing,Incoming,Inhabitants
0201,2163.0,2514.0,90528
0202,5281.0,958.0,105762
0203,7722.0,1783.0,90249
0204,2146.0,59.0,36730
0205,3660.0,502.0,52603
0206,3904.0,2647.0,65137
0207,1666.0,464.0,45835
0208,2882.0,515.0,166843
0209,5839.0,2481.0,54744
0210,2039.0,710.0,56732
0211,7990.0,5129.0,106966
0212,1888.0,432.0,47877
0213,1822.0,724.0,37529
0214,6797.0,1593.0,105648
0215,4782.0,3907.0,75151
0216,3442.0,12782.0,63121
0217,3776.0,426.0,44652
0218,4203.0,1674.0,51782
0219,7581.0,3326.0,162145
0220,5559.0,1407.0,82015
0221,6105.0,1050.0,58821
0222,2739.0,580.0,47799
0223,13786.0,17665.0,121651
0224,3499.0,362.0,68807
0225,2442.0,1586.0,94205
0226,2540.0,344.0,45613
0261011,2633.0,4452.0,83463
0262011,4862.0,7155.0,102979
0264011,15879.0,63241.0,631235
0265011,4484.0,8298.0,119955
0401,1639.0,433.0,56199
0402,1106.0,925.0,77751
0403,9724.0,6977.0,107678
0404,2416.0,385.0,52748
0405,1584.0,1083.0,45401
0406,2591.0,691.0,40216
0407,4335.0,1761.0,164965
0408,1774.0,514.0,67537
0409,2062.0,525.0,46929
0410,5588.0,949.0,86966
0411,1144.0,117.0,42239
0412,960.0,302.0,44873
0413,976.0,163.0,41683
0414,3321.0,1409.0,99942
0415,8704.0,3428.0,98698
0416,1438.0,258.0,48187
0417,1349.0,187.0,35286
0418,4894.0,1010.0,87345
0419,3173.0,511.0,71003
0461011,7597.0,25355.0,363020
0462011,2815.0,3009.0,98438
0463011,5470.0,12961.0,204921
0464011,1904.0,5470.0,116345
0601,4146.0,1456.0,114052
0602,1520.0,860.0,103727
0603,3469.0,619.0,80197
0604,758.0,92.0,68205
0605,960.0,170.0,47713
0606,1570.0,444.0,67402
0607,1976.0,320.0,99581
0608,3886.0,563.0,90470
0609,13050.0,2948.0,147457
0610,2624.0,2557.0,57668
0611,3354.0,866.0,109892
0612,1581.0,317.0,62603
0613,743.0,480.0,36317
0614,2847.0,1390.0,116984
0615,2097.0,384.0,61254
0616,2173.0,692.0,58833
0617,5082.0,2028.0,73326
0618,845.0,219.0,88032
0619,867.0,54.0,39937
0620,5624.0,1088.0,109680
0661011,1504.0,2074.0,58000
0662011,1635.0,1744.0,66176
0663011,6820.0,35143.0,348567
0664011,1517.0,5055.0,65784
0801,4624.0,3510.0,69396
0802,1582.0,560.0,56925
0803,2017.0,671.0,58846
0804,2855.0,1044.0,88062
0805,1025.0,565.0,47498
0806,1507.0,399.0,50686
0807,1393.0,583.0,35924
0808,1891.0,1792.0,56777
0809,5614.0,1946.0,93749
0810,3534.0,299.0,82433
0811,2004.0,1631.0,99762
0812,1701.0,645.0,39349
0861011,2464.0,5973.0,124554
0862011,3627.0,13689.0,119197
1001,3683.0,6815.0,113005
1002,2429.0,881.0,101789
1003,3950.0,1154.0,50725
1004,2623.0,495.0,52329
1005,4218.0,308.0,80996
1006,6996.0,3456.0,68671
1007,3394.0,475.0,78522
1008,7848.0,4488.0,120016
1009,3182.0,282.0,52877
1010,10013.0,1695.0,91476
1011,2272.0,433.0,42026
1012,3503.0,1053.0,117266
1013,1698.0,606.0,49764
1014,3504.0,990.0,120699
1015,3757.0,624.0,38234
1016,4171.0,1520.0,120907
1017,2115.0,959.0,78120
1018,2407.0,578.0,42372
1019,2926.0,2162.0,68121
1020,12393.0,6788.0,164608
1021,2409.0,619.0,30940
1061011,14302.0,45425.0,725055
1062011,3957.0,6628.0,76505
1063011,3478.0,2430.0,48658
1201,5927.0,1475.0,103869
1202,3803.0,1215.0,92403
1203,9772.0,2226.0,127848
1204,2313.0,345.0,59499
1205,2601.0,889.0,109225
1206,25912.0,13996.0,261857
1207,3506.0,1042.0,127387
1208,2941.0,235.0,50327
1209,7460.0,2276.0,122599
1210,13532.0,3465.0,208715
1211,3522.0,1752.0,188602
1212,6853.0,2482.0,114688
1213,15006.0,5686.0,155082
1214,2513.0,997.0,43995
1215,2850.0,549.0,84019
1216,16062.0,3054.0,198276
1217,990.0,1355.0,67640
1218,9601.0,2469.0,158354
1219,12176.0,5086.0,115356
1261011,18431.0,79322.0,759137
1262011,3205.0,12122.0,84325
1263011,3797.0,15363.0,113593
1401,1854.0,327.0,33843
1402,2601.0,393.0,91385
1403,7926.0,456.0,108528
1404,1587.0,356.0,46828
1405,9240.0,4027.0,86465
1406,4848.0,1505.0,98599
1407,2465.0,751.0,62481
1408,10982.0,2529.0,108368
1409,786.0,79.0,36207
1410,588.0,144.0,32581
1411,1200.0,213.0,47004
1412,12311.0,1604.0,148118
1413,1419.0,1103.0,74703
1414,6197.0,2716.0,78053
1415,4136.0,1422.0,87623
1416,2179.0,298.0,75411
1417,9078.0,5294.0,121191
1418,13567.0,8819.0,166189
1419,7657.0,1847.0,110415
1420,3880.0,361.0,89174
1421,16279.0,11237.0,155495
1422,1267.0,290.0,53999
1423,1156.0,145.0,43501
1424,2084.0,246.0,51332
1425,8581.0,2069.0,150018
1426,6499.0,1622.0,81811
1427,1702.0,88.0,53783
1428,5911.0,1059.0,85095
1429,1223.0,764.0,56610
1430,1536.0,303.0,40784
1432,9409.0,8649.0,108264
1433,3224.0,336.0,68020
1434,21617.0,4505.0,222492
1435,3263.0,526.0,73742
1436,1144.0,162.0,37164
1438,7055.0,1502.0,76590
1461011,1495.0,3024.0,53443
1462011,2420.0,7645.0,124318
1463011,4696.0,7013.0,220602
1464011,3385.0,5623.0,76480
1465011,28469.0,246059.0,1708491
1601,6698.0,900.0,92455
1602,1952.0,231.0,48217
1603,2847.0,1403.0,98350
1604,3127.0,755.0,67845
1605,2612.0,1952.0,65729
1606,2348.0,392.0,43149
1607,4269.0,473.0,142119
1608,2225.0,1480.0,66104
1609,10599.0,4248.0,133196
1610,1924.0,508.0,57583
1611,3499.0,1079.0,76764
1661011,3301.0,22639.0,122439
1801,408.0,278.0,22396
1802,5098.0,500.0,66502
1803,3821.0,2278.0,135090
1804,3347.0,1853.0,122677
1805,4231.0,1261.0,115789
1806,3286.0,663.0,62846
1807,13605.0,1736.0,111874
1808,2187.0,491.0,70230
1809,762.0,53.0,57635
1810,6645.0,1282.0,79623
1811,2063.0,2826.0,136179
1812,4315.0,937.0,67721
1813,5918.0,844.0,73778
1814,4418.0,639.0,79355
1815,4739.0,814.0,73166
1816,19146.0,6474.0,163859
1817,2354.0,3998.0,96174
1818,2849.0,6262.0,109502
1819,4806.0,358.0,62318
1820,4541.0,2402.0,54280
1821,891.0,316.0,26950
1861011,2179.0,14417.0,47348
1862011,1824.0,4647.0,64728
1863011,7238.0,45224.0,180031
1864011,3103.0,2843.0,48636
2001,614.0,181.0,59976
2002,8795.0,4294.0,143701
2003,848.0,209.0,58495
2004,561.0,296.0,49446
2005,806.0,667.0,46584
2006,597.0,74.0,39990
2007,1908.0,995.0,52181
2008,576.0,120.0,42745
2009,465.0,36.0,21039
2010,319.0,117.0,47791
2011,1180.0,212.0,71678
2012,1697.0,831.0,36211
2013,619.0,914.0,59471
2014,660.0,584.0,45096
2061011,6403.0,12769.0,294298
2062011,1428.0,1592.0,63070
2063011,1328.0,1892.0,69210
2201,1331.0,663.0,78232
2202,2342.0,1377.0,95941
2203,1232.0,632.0,57491
2204,10195.0,4653.0,100912
2205,6672.0,3411.0,121358
2206,1941.0,787.0,70742
2207,1323.0,698.0,83734
2208,1792.0,1067.0,66202
2209,3053.0,952.0,64821
2210,1412.0,260.0,36471
2211,4886.0,1734.0,80106
2212,6588.0,5709.0,96955
2213,4950.0,1265.0,126816
2214,5365.0,4337.0,115768
2215,16329.0,4453.0,201630
2216,1339.0,358.0,42739
2261011,17006.0,37584.0,460517
2262011,13355.0,23787.0,248939
2263011,4880.0,5673.0,95542
2264011,3243.0,5859.0,38584
2401,20577.0,6934.0,152135
2402,21988.0,9062.0,158209
2403,9005.0,2792.0,176587
2404,13070.0,3422.0,135630
2405,13843.0,4707.0,115229
2406,4607.0,1348.0,85814
2407,3105.0,1402.0,77302
2408,10714.0,6567.0,94661
2409,4243.0,963.0,72072
2410,11229.0,5263.0,108242
2411,3482.0,3644.0,110085
2412,11832.0,2263.0,76367
2413,11238.0,9231.0,138400
2414,7964.0,2746.0,58057
2415,15012.0,4400.0,158421
2416,7750.0,1110.0,122756
2417,9662.0,1365.0,153143
2461011,7147.0,30638.0,174503
2462011,17281.0,8449.0,176106
2463011,12516.0,12842.0,111536
2464011,5973.0,17938.0,235798
2465011,12459.0,12880.0,125475
2466011,9397.0,29236.0,186868
2467011,5637.0,17317.0,92105
2468011,8077.0,3181.0,94580
2469011,18373.0,109757.0,309304
2470011,9366.0,7224.0,75428
