"","COM","PTOT"
"1","L'Abergement-Clemenciat-1",789
"2","L'Abergement-de-Varey-1",254
"3","Amberieu-en-Bugey-1",14586
"4","Amberieux-en-Dombes-1",1744
"5","Ambleon-1",118
"6","Ambronay-1",2878
"7","Ambutrix-1",770
"8","Andert-et-Condon-1",333
"9","Anglefort-1",1130
"10","Apremont-1",384
"11","Aranc-1",333
"12","Arandas-1",148
"13","Arbent-1",3449
"14","Arbigny-1",470
"15","ArboysenBugey-1",664
"16","Argis-1",466
"17","Armix-1",31
"18","Ars-sur-Formans-1",1455
"19","Artemare-1",1262
"20","Arviere-en-Valromey-1",731
"21","Asnieres-sur-Saone-1",71
"22","Attignat-1",3259
"23","Bage-Dommartin-1",4185
"24","Bage-le-Chatel-1",1012
"25","Balan-1",2565
"26","Baneins-1",627
"27","Beard-Geovreissiat-1",1092
"28","Beaupont-1",695
"29","Beauregard-1",863
"30","Beligneux-1",3380
"31","Belley-1",9520
"32","Belleydoux-1",320
"33","Bellignat-1",3865
"34","Benonces-1",306
"35","Beny-1",774
"36","Beon-1",451
"37","Bereziat-1",501
"38","Bettant-1",766
"39","Bey-1",294
"40","Beynost-1",4795
"41","Billiat-1",647
"42","Birieux-1",285
"43","Biziat-1",892
"44","Blyes-1",1123
"45","Bohas-Meyriat-Rignat-1",951
"46","LaBoisse-1",3302
"47","Boissey-1",355
"48","Bolozon-1",92
"49","Bouligneux-1",334
"50","Bourg-en-Bresse-1",43006
"51","Bourg-Saint-Christophe-1",1438
"52","Boyeux-Saint-Jerome-1",351
"53","Boz-1",539
"54","Bregnier-Cordon-1",857
"55","Brenod-1",521
"56","Brens-1",1191
"57","BresseVallons-1",2351
"58","Bressolles-1",953
"59","Brion-1",538
"60","Briord-1",1064
"61","Buellas-1",1860
"62","LaBurbanche-1",84
"63","Ceignes-1",267
"64","Cerdon-1",795
"65","Certines-1",1542
"66","Cessy-1",4960
"67","Ceyzeriat-1",3238
"68","Ceyzerieu-1",1028
"69","Chalamont-1",2564
"70","Chaleins-1",1391
"71","Chaley-1",130
"72","Challes-la-Montagne-1",195
"73","Challex-1",1551
"74","Champagne-en-Valromey-1",847
"75","Champdor-Corcelles-1",657
"76","Champfromier-1",753
"77","Chanay-1",641
"78","Chaneins-1",929
"79","Chanoz-Chatenay-1",886
"80","LaChapelle-du-Chatelard-1",399
"81","Charix-1",291
"82","Charnoz-sur-Ain-1",931
"83","Chateau-Gaillard-1",2244
"84","Chatenay-1",354
"85","Chatillon-la-Palud-1",1657
"86","Chatillon-sur-Chalaronne-1",5083
"87","Chavannes-sur-Reyssouze-1",767
"88","Chaveyriat-1",1040
"89","Chazey-Bons-1",1181
"90","Chazey-sur-Ain-1",1598
"91","Cheignieu-la-Balme-1",137
"92","Chevillard-1",158
"93","Chevroux-1",962
"94","Chevry-1",2023
"95","Chezery-Forens-1",473
"96","Civrieux-1",1809
"97","Cize-1",183
"98","Cleyzieu-1",139
"99","Coligny-1",1202
"100","Collonges-1",2268
"101","Colomieu-1",150
"102","Conand-1",129
"103","Condamine-1",450
"104","Condeissiat-1",832
"105","Confort-1",669
"106","Confrançon-1",1367
"107","Contrevoz-1",510
"108","Conzieu-1",151
"109","Corbonod-1",1302
"110","Corlier-1",117
"111","Cormoranche-sur-Saone-1",1189
"112","Cormoz-1",685
"113","Corveissiat-1",629
"114","Courmangoux-1",516
"115","Courtes-1",310
"116","Crans-1",284
"117","Cressin-Rochefort-1",399
"118","Crottet-1",1784
"119","Crozet-1",2212
"120","Cruzilles-les-Mepillat-1",900
"121","Culoz-1",3085
"122","Curciat-Dongalon-1",447
"123","Curtafond-1",790
"124","Cuzieu-1",464
"125","Dagneux-1",4826
"126","Divonne-les-Bains-1",10022
"127","Dompierre-sur-Chalaronne-1",439
"128","Dompierre-sur-Veyle-1",1190
"129","Domsure-1",492
"130","Dortan-1",1900
"131","Douvres-1",1086
"132","Drom-1",220
"133","Druillat-1",1179
"134","Echallon-1",770
"135","Echenevex-1",2164
"136","Evosges-1",148
"137","Faramans-1",822
"138","Fareins-1",2254
"139","Farges-1",1060
"140","Feillens-1",3398
"141","Ferney-Voltaire-1",10056
"142","Flaxieu-1",69
"143","Foissiat-1",2097
"144","Francheleins-1",1636
"145","Frans-1",2482
"146","Garnerans-1",664
"147","Genouilleux-1",645
"148","Geovreisset-1",898
"149","Gex-1",13362
"150","Giron-1",182
"151","Gorrevod-1",833
"152","Grand-Corent-1",186
"153","Grieges-1",1931
"154","Grilly-1",857
"155","Groissiat-1",1286
"156","Groslee-Saint-Benoit-1",1239
"157","Guereins-1",1476
"158","HautValromey-1",665
"159","Hautecourt-Romaneche-1",795
"160","Illiat-1",664
"161","Injoux-Genissiat-1",1151
"162","Innimond-1",91
"163","Izenave-1",161
"164","Izernore-1",2316
"165","Izieu-1",236
"166","Jassans-Riottier-1",6449
"167","Jasseron-1",1823
"168","Jayat-1",1208
"169","Journans-1",366
"170","Joyeux-1",271
"171","Jujurieux-1",2179
"172","Labalme-1",220
"173","Lagnieu-1",7322
"174","Laiz-1",1355
"175","Lantenay-1",283
"176","Lapeyrouse-1",328
"177","Lavours-1",132
"178","Leaz-1",774
"179","Lelex-1",233
"180","Lent-1",1428
"181","Lescheroux-1",734
"182","Leyment-1",1349
"183","Leyssard-1",161
"184","Lhuis-1",912
"185","Lompnas-1",169
"186","Loyettes-1",3207
"187","Lurcy-1",386
"188","Magnieu-1",657
"189","Maillat-1",662
"190","Malafretaz-1",1267
"191","Mantenay-Montlin-1",322
"192","Manziat-1",1997
"193","Marboz-1",2304
"194","Marchamp-1",134
"195","Marignieu-1",173
"196","Marlieux-1",1225
"197","Marsonnas-1",1030
"198","Martignat-1",1711
"199","Massieux-1",2687
"200","Massignieu-de-Rives-1",631
"201","Matafelon-Granges-1",649
"202","Meillonnas-1",1379
"203","Merignat-1",137
"204","Messimy-sur-Saone-1",1274
"205","Meximieux-1",7985
"206","Mezeriat-1",2231
"207","Mijoux-1",339
"208","Mionnay-1",2201
"209","Miribel-1",10193
"210","Miserieux-1",2195
"211","Mogneneins-1",804
"212","Montagnat-1",2073
"213","Montagnieu-1",646
"214","Montanges-1",358
"215","Montceaux-1",1221
"216","Montcet-1",713
"217","LeMontellier-1",304
"218","Monthieux-1",665
"219","Montluel-1",7010
"220","Montmerle-sur-Saone-1",3871
"221","Montracol-1",1048
"222","Montreal-la-Cluse-1",3490
"223","Montrevel-en-Bresse-1",2556
"224","Murs-et-Gelignieux-1",252
"225","Nantua-1",3544
"226","Neuville-les-Dames-1",1530
"227","Neuville-sur-Ain-1",1798
"228","LesNeyrolles-1",657
"229","Neyron-1",2598
"230","Nievroz-1",1651
"231","NivigneetSuran-1",829
"232","Nivollet-Montgriffon-1",121
"233","Nurieux-Volognat-1",1050
"234","Oncieu-1",90
"235","Ordonnaz-1",140
"236","Ornex-1",4586
"237","Outriaz-1",265
"238","Oyonnax-1",22808
"239","Ozan-1",702
"240","Parcieux-1",1250
"241","ParvesetNattages-1",984
"242","Peron-1",2755
"243","Peronnas-1",6800
"244","Perouges-1",1291
"245","Perrex-1",849
