codeGeo;partPop0_14;partPop15_24;partPop25_59;partPop60_74;partPop75p;indiceJeunesse;partPopF;partPop0_14F;partPop15_24F;partPop25_59F;partPop60_74F;partPop75pF;indiceJeunesseF;indiceJeunesseH;partPopEt;partPop0_14Et;partPop15_24Et;partPop25_59Et;partPop60_74Et;partPop75pEt;indiceJeunesseEt;partPopEtF;partPopImmi;partPersMajFr;txEmp;txEmpF;txEmpH;txEmpEt;txEmp15_24;txEmp25_54;txEmp55_64;partEmpPrec;partEmpPrecF;partEmpPrecEt;txAct15_24;txAct25_54;txAct55_64;txActF;txActH;partArtCadr;partPI;partEmpl;partOuvr;partTpsPart;txChom;part16_25nonScolNonEmp;partVoit;partTEC;partMenVoit;partPopBepCap;partPopBac;partPopBacSup;partPopBepCapF;partPopBacF;partPopBacSupF;partPopBepCapEt;partPopBacEt;partPopBacSupEt;partPopSansDip;partPopSansDipF;partPopSansDipEt;txScol15_24;txScol15_24F;txScol15_24H;txScol15_24Et;partMen1p;partMen2p;partMen3p;partMen45p;partMen6pp;partMen1p60_74;partMen1p75p;partMen1pF;partMen1pEt;partMen1p60_74F;partMen1p75pF;partMen1p60_74Et;partMen1p75pEt;partMenEt;partMen6ppEt;partMenImmi;partFamMono;partMenProp;partMenLoc;partMenLogGrat;partResPrinc;partResSec;partResoccas;partResVac;partResPrincApp;partResPrincMai;nbPersResPrinc;partResPrinc1pi;partResPrinc2pi;partResPrinc3pi;partResPrinc4pi;partResPrinc5pi;partResPrinc30;partResPrinc30_40;partResPrinc40_60;partResPrinc60_80;partResPrinc80_100;partResPrinc100_120;partResPrinc120plus;partResPrincAch19;partResPrincAch19_45;partResPrincAch46_70;partResPrincAch71_90;partResPrincAch91_05;partResPrincAch06_14;partResPrincEmm2;partResPrincEmm2_4;partResPrincEmm5_9;partResPrincEmm10;partResPrincSurocc;partResPrincSurocc2pi;partResPrincSurocc3pi;partResPrincSurocc4pi;partResPrincSurocc5pi
11;24,8;14,3;45,8;11;4,1;2,1;51;24,1;13,9;46,3;11;4,7;2;2,3;27,9;21,3;7,3;54,2;12,7;4,5;1,4;26,5;35;69,7;53,3;48,8;58;50,7;24,4;64,5;49,8;18;19,3;20;39;82,3;61,1;64,3;74,7;12,2;19,1;40,4;28,3;18,9;22,9;22,8;31,6;56,2;52,9;19,4;16,5;19,8;18,1;17;20,2;11,7;12;13,1;44,3;44,7;63,2;64,1;66,8;61,4;59,7;31,6;22,8;15,9;22,8;6,9;25,8;14,4;51,8;22,4;63;78,2;21,1;17;29,8;43,7;48;30,6;14,4;84,3;1,3;94;0,4;0,5;5,2;94,3;3,6;2,7;9,5;20,6;35,5;25,3;9;7,7;10,6;28,7;34,5;14,3;3,2;1,1;2,8;7,9;40,5;34;7,1;5,8;9,6;20,2;20,3;49,9;25,3;30,1;26,3;18,6;11,3
24;26,4;13,6;42,4;12,1;5,6;1,9;52,7;24,9;12,6;42,7;12,8;7;1,6;2,4;26,6;27,3;9;49;11;3,7;2,1;25,5;30;73,2;41,9;37;47,3;36,4;23,9;50,8;33,5;29,9;28,8;38,6;43,7;78,1;46,5;59,5;71,5;6,6;13,4;36,4;43,5;26;35,4;32,1;62,3;20,9;61,4;25;14;12,9;21,6;14,3;12,8;12,7;12,5;12;48,1;51,3;62,8;55,9;56,4;55,5;56,5;42,2;23;12,9;16,7;5,1;27,8;16,6;54,5;14,3;66,6;82,7;12,1;9,9;24,3;49;35,7;33,5;9,5;89,9;0,6;88,4;0,2;0,4;10,9;90;9,1;2,3;5,1;17,2;36,9;28,8;12,1;2,6;7,5;27,3;42,9;15,7;2,9;1;1,1;2,4;44,5;41;5,7;4,6;14,2;25,2;21;39,5;10,2;10,4;11,4;9,2;5,5
27;24,6;13,2;41,7;13,9;6,5;1,5;52,3;22,8;12,2;42,3;15;7,7;1,3;1,9;23,7;23,5;8,9;47,1;14,4;6,1;1,4;23;28,9;75,4;40,1;35,3;45,5;33,9;22,5;49,2;31,5;30;29,1;37,9;43,1;75,7;43,4;56,1;70,1;6,5;12,9;35;45,5;27;35,8;33;64,3;19,2;62;26,4;12,8;11,6;22,7;12,7;12;12,6;10,5;9,9;49,3;52,6;67;54,9;53,2;56,4;56,1;43,9;23,8;12,2;15,8;4,3;28;17,1;54,8;13,1;65,9;80,8;13;12,9;21,8;42;32,9;30,5;11,8;87,5;0,6;88,7;0,2;0,4;10,7;93,2;5,3;2,3;5,2;15,3;35,3;30,7;13,4;3,1;6,6;25,2;42,8;17,7;3,5;1,1;0,6;2;45,3;41,4;5,2;4,6;14,9;23,9;20,8;40,4;7,1;7,4;7,7;6,6;3,7
28;24,8;14,5;42,3;12,6;5,9;1,8;53,2;22,6;13,6;42,7;13,4;7,6;1,4;2,3;15,7;25;10,6;49,5;11;3,8;2;14,4;18,5;84,1;40,6;36,9;44,9;33,4;23,2;50,2;31,4;29,1;29,3;39,8;45,5;77,6;43,3;58,8;70,2;5,6;13,8;38,9;41,6;27,4;36,4;33,8;61,6;23;58,5;28,7;13,1;10,4;25,4;13,4;10,3;13;12,2;13,3;47,7;50,9;61,5;53,7;54,1;53,3;59,6;42,4;24,6;13,9;15,3;3,9;27,3;16,3;56,2;8,4;67;85,9;6,7;4,6;14;34,6;21,1;36,8;7,4;92;0,6;88,8;0,2;0,4;10,6;90,7;8,2;2,3;4,5;15,8;35;30,1;14,5;2,6;8;26,8;39,8;18,2;3,5;1,1;1,3;2,9;45,6;38,7;5;5,4;14,4;25,6;21;39;7,2;9,1;7,3;6,4;4,4
32;24,9;15,4;43;11,5;5,2;2;52,5;23,2;14,7;43;12,5;6,7;1,6;2,5;12,7;22,3;9;47,9;14,6;6,3;1,3;12,1;14,9;86,4;39,7;34,3;45,5;32,2;20,3;50,3;29,7;26,8;28;33,1;42;76,5;41,9;54,7;71,1;8;15,2;36,3;40,4;25,4;36,4;34,6;64,8;19,2;60,1;26,8;14,2;12,5;22,9;14,4;12,2;13;10,6;12,2;46,6;50,4;64,2;54,5;55,3;53,8;58,5;37,8;25;14,5;17,8;4,9;26,2;16,2;55,4;9;67,5;83,4;7,9;8,2;12,7;24,8;18,6;32,1;15;83,5;1,5;91,6;0,1;0,4;7,9;62,8;36,5;2,4;5,3;15;27;27,9;24,7;3,9;7,7;24;36,2;19,6;5,8;2,8;4,9;17,7;32,8;31,3;7,1;5,2;14;23,4;19,6;43,1;8;12,2;10,2;6,8;2,7
44;24,5;14,2;43;12,6;5,8;1,7;52;23;13,5;43,3;13,1;7;1,5;2,1;22,6;23,5;9;48,3;13,5;5,7;1,5;22,1;28,1;76,6;39,7;34,7;45,2;32,4;21,8;48,8;31,4;26,7;25,6;33,3;41,5;75,3;44;55,2;70,1;7,3;13,7;36,7;42,3;27;36;32,4;61,3;22,4;59,9;25,4;13,2;12,2;21,9;13,1;12,3;12,5;10,6;10,3;49,2;52,7;66,7;55,9;57;54,8;56,2;40,3;24,1;13,5;17,7;4,4;26,7;16,9;53,8;14,1;64,1;80,2;13,4;13,1;21,4;39,9;33,2;31,3;11,2;87,3;1,5;88,1;0,2;0,6;11;92,1;6,7;2,4;6,1;16,1;34,1;28,8;14,9;3,8;6,8;23,7;39,3;19,8;5;1,5;3,3;5,5;47;31,4;6;5,9;14;24,9;20,6;40,5;9,5;9,9;10,9;8,5;4,8
52;25;14,2;43,3;11,7;5,7;1,9;53,2;23,1;13,6;42,9;12,9;7,6;1,5;2,5;20,8;29,3;11,2;49,6;7,6;2,3;3,6;19,6;22,9;80,2;43,8;40;48,1;35,1;24;53,1;36,1;29,3;28,6;42;45,8;81,9;49,3;64,1;73,4;7,5;14,7;36,2;41,5;28,7;35,9;31,3;59,5;27,5;60,3;28;14,4;14,2;24,9;14,7;13,7;14,8;14,4;14,6;43,4;46,7;56,1;55,6;56;55,1;57,6;47,2;22,7;12,4;14,1;3,6;25,7;14,9;53,8;9,8;67;84,6;6;4,5;17,2;45,7;25,1;37,9;10,2;89,3;0,5;91,6;0,4;0,6;7,4;92,5;6,5;2,2;5,3;17,2;34,7;28,1;14,7;2,6;7,1;26,4;41,6;17,9;3,2;1,2;0,5;1,7;43,9;41,7;5,3;5,6;14,5;25;21,7;38,7;6,1;6,5;6,4;5,5;3,8
53;23,1;16;42,6;12,3;6;1,7;52,9;21,5;15,1;41,7;13,5;8,1;1,3;2,3;18,9;29,2;11,6;49,7;7,3;2,2;3,6;17,9;20,2;82,4;40,7;37,3;44,4;36,5;24,2;50,3;32,1;30,8;29,6;40,7;42,7;77;43,1;57,8;68;7,8;14,2;38,2;39,7;30,6;34,9;26,9;58,9;27,4;57;29,1;15,8;14,1;25,3;15,4;13,6;14;15,7;14,1;41,1;45,6;56,3;60,9;62,2;59,6;63,6;50,2;22,1;12,3;12,6;2,9;26,8;14,7;52,5;7,5;65,2;83,6;4,4;3,4;15,1;46,3;21,3;41;11,2;88,1;0,7;92,2;0,5;0,5;6,8;96,2;3,2;2,1;3,7;17,2;35,3;29,6;14,2;2;6,1;26,5;43;18,1;3,4;1;0,5;1,2;54,1;36,1;3,8;3,8;14,6;24,8;20,2;40,4;5,3;5,1;6;5,1;2,8
75;22,6;15,1;42,9;12,5;7;1,5;53,6;20,4;14;42,8;13,8;8,9;1,2;2,1;20,8;27;10,5;49,4;9,4;3,7;2,5;19,5;22,9;80,1;43,4;40;47,3;36,4;23,5;53,2;36,9;27,8;27,3;38,5;42,2;79;48,5;60,7;70,3;10,2;15,2;38,3;36,1;26,1;33,2;28,9;61,5;22;61,7;26,4;15;16,2;23,3;15;16;14,1;12,3;14,8;42,4;45,8;58,8;58,4;58,7;58,2;57,2;48,5;24;11,6;12,7;3,2;25,4;16,3;57;9,3;68,5;82,5;7,8;6,2;17;46,9;24,5;36,5;11,1;88,1;0,8;90;0,7;0,7;8,6;87,7;11,4;2,1;7,8;18,5;35,1;26,1;12,6;5,8;8,5;25,3;38,3;16,6;3,6;1,8;7,6;5,4;42;32;6,8;5,2;16,9;25,5;19,7;37,9;7,5;8,8;7,5;6,3;4,3
76;22,7;15,2;42;12,8;7,3;1,5;52,3;21,4;14,6;41,8;13,2;9;1,3;1,8;21,1;23,4;10,1;48,7;12,7;5;1,6;20;26,2;78,7;38,1;33,2;43,4;30,9;19,9;47,2;32,5;25,8;25,4;35,1;38,1;72,5;45,5;53;66,8;12,3;16,5;35,8;35,1;26,6;35,7;30,9;63,6;16,9;62,4;22,8;15,2;16,7;20;15,4;16,6;12,6;10,6;11,8;45,4;48;65;59,4;60,4;58,3;59,6;47,1;23,2;12,1;13,9;3,7;24,7;17,1;52,1;12,4;60,8;77,7;11,6;9,8;18,8;42,4;29,2;33,2;16,9;81,9;1,2;82,8;1,8;0,8;14,5;87,7;11,4;2,1;8,8;20,1;32,9;25,7;12,5;7,5;10,2;24,8;33,9;16,9;4,3;2,4;13,4;9,7;36,6;25,9;8,5;5;18,1;25,9;19,6;36,4;10,8;13,5;11,8;8,3;2,9
